START_ID,END_ID,TYPE,fecha,dispositivo,tipo,editado,longitud_comentario,reportó,guardó,descargó,calificó,like,respondió,fecha_respuesta,like_autor,ratificado,temas,examen,aportes,está,abandonó,buscó,enfoque,primeros_usuarios,rol,status,último_acceso,cambios_realizados,versión,estado_reclamo,motivo_reclamo,tipo_comentario:string,ultima_interacción:datetime
38512117,74298943,INTERACTUÓ_COMUNIDAD,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,
54118117,56436895,TIENE_RESPUESTA,2025-03-04T14:11:20,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,
3728160,77689682,INTERACTUÓ_COMUNIDAD,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,
72163316,29401148,PERTENECE_COMUNIDAD,2025-03-04T14:10:58,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
10846182,86344993,PERTENECE_A_COMUNIDAD,,,,,,,,,,,,,,,,,,,,,,,mod,activo,2025-03-04T14:11:14,,,,,,
87171272,46666498,PUBLICÓ,2024-10-31T07:12:19,Móvil,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52016838,62724224,PERTENECE_CLASE,2025-03-04T14:09:57,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
65579548,70867949,INTERACTUÓ_POST,,,,,,False,False,True,5.0,,,,,,,,,,,,,,,,,,,,,,
57105644,29584358,PERTENECE_A_COMUNIDAD,,,,,,,,,,,,,,,,,,,,,,,mod,activo,2025-03-04T14:11:14,,,,,,
44359242,7725708,INTERACTUÓ_COMENTARIO,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,
2331631,7046091,CREÓ_COMENTARIO,2025-03-04T14:07:56,,,False,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46483540,38660349,CREÓ_COMUNIDAD,2024-08-27T22:14:45,,,,,,,,,,,,,,,,,,,Investigación,"['Íñigo Perez Esteve', 'Micaela Pons-Novoa', 'Lorenza Catalán Moraleda']",,,,,,,,,,
79508146,73601611,PERTENECE_CLASE,2025-03-04T14:09:57,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
17378338,50890157,CREÓ_COMENTARIO,2025-03-04T14:07:56,,,False,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94822231,14956785,RECLAMO_RECOMPENSA,2025-03-04T14:10:26,,,,,,,,,,,,,,,,,,,,,,,,,,,aprobado,Nemo saepe officiis tempora excepturi.,,
21636866,48670621,EDITÓ_COMENTARIO,2025-03-04T14:10:47,,,False,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96047345,46470847,PUBLICÓ,2024-10-31T07:12:19,Móvil,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828748,61342611,PERTENECE_COMUNIDAD,2025-03-04T14:10:58,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
35078335,12997893,SIGUE,2025-03-04T14:10:05,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,
49303460,68212578,INTERACTUÓ_POST,,,,,,False,False,True,5.0,,,,,,,,,,,,,,,,,,,,,,
23763566,77226711,SIGUE,2025-03-04T14:10:05,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,
21890260,56161672,CREÓ_COMENTARIO,2025-03-04T14:07:56,,,False,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56556542,3464864,PUBLICÓ,2024-10-31T07:12:19,Móvil,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
